dataset,step,DCGAN_train_G1,DCGAN_test_G1,DCGAN_train_G2,DCGAN_test_G2,DCGAN_train_G1_G2,DCGAN_test_G1_G2,OGAN_train_G1,OGAN_test_G1,OGAN_train_G2,OGAN_test_G2,OGAN_train_G1_G2,OGAN_test_G1_G2
mnist32,3000,-859.5,-788.8,-707.3,-623.1,-549.7,-474,-886.9,-845.1,-668.9,-626.9,-534.4,-491.5
mnist32,4000,-1054,-974.1,-812.6,-722.2,-673.1,-588.8,-1082,-1021,-915.7,-848.2,-738.3,-672.8
mnist32,5000,-1212,-1156,-999.4,-938,-819.1,-767.6,-1277,-1209,-1006,-948.9,-846.8,-786.7
mnist32,6000,-1425,-1337,-1285,-1228,-1054,-991,-1396,-1338,-1297,-1236,-1047,-995.3
cifar32,1000,-238550,-237820,-237200,-235700,-222340,-221430,-238500,-237930,-236540,-236370,-222230,-221860
cifar32,2000,-241980,-241890,-243540,-241160,-227080,-225820,-244860,-244540,-240600,-240900,-226880,-226990
cifar32,3000,-240490,-240880,-236770,-238150,-223210,-224070,-244030,-244480,-238310,-237990,-225440,-225610
cifar32,4000,-248100,-248870,-244640,-246710,-229910,-231650,-243300,-242520,-245140,-245010,-228510,-228120
cifar32,5000,-251140,-251460,-246960,-245260,-233080,-232230,-251060,-251110,-249260,-246560,-234030,-232620
celeba32,5000,-179140,-178590,-178550,-177900,-168400,-167770,-180450,-179910,-182360,-180900,-170780,-169870
mnist32repeat,2000,-694.6,-656.5,-511.6,-473.1,-379.9,-345.2,-726.3,-679.7,-484.4,-438.1,-376,-332
mnist32repeat,3000,-836.7,-792.5,-672.7,-622.2,-519.7,-475.4,-893.8,-849.3,-671,-624.8,-536.4,-496.4
mnist32repeat,4000,-1035,-979.8,-789.6,-724.7,-649.6,-593.2,-1081,-1014,-898.1,-846,-727,-671.6
mnist32repeat,5000,-1190,-1149,-985.2,-935.5,-806.2,-760.9,-1286,-1223,-1012,-948.9,-852.4,-791.3
